1654227900021557388,15,167565,1800,0,0
1654227900021565112,17,157565,1800,0,0
1654227900021570860,19,147565,1800,0,0
1654227900021576320,20,142565,1800,0,0
1654227900021581916,21,137565,1800,0,0
1654227900021588800,22,132565,1800,0,0
1654227900021589720,0,1664665,2800,0,0
1654227900021595616,23,127565,1800,0,0
1654227900021601464,24,122565,1800,0,0
1654227900021605692,25,117565,1800,0,0
1654227900021608656,0,1664665,2800,1688865,2800
1654227900021611416,26,112565,1800,0,0
1654227900021618588,27,107565,1800,0,0
1654227900021623840,28,102565,1800,0,0
1654227900021631060,29,97565,1800,0,0
1654227900021636128,30,92665,1800,0,0
1654227900021636496,166,0,0,83965,1800
1654227900021641640,31,87665,1800,0,0
1654227900021645412,165,0,0,78600,1800
1654227900021647000,32,82665,1800,0,0
1654227900021651032,164,0,0,73965,1800
1654227900021651528,33,77665,1800,0,0
1654227900021655328,163,0,0,68965,1800
1654227900021659160,34,72665,1800,0,0
1654227900021660920,162,0,0,63965,1800
1654227900021664476,35,67665,1800,0,0
1654227900021666072,161,0,0,59365,1800
1654227900021670920,160,0,0,54865,1800
1654227900021671124,36,63065,1800,0,0
1654227900021677452,159,0,0,51465,1800
1654227900021678584,0,1664665,2800,1679000,500
1654227900021680780,5,130010,50,0,0
1654227900021683392,158,0,0,46265,1800
1654227900021688144,157,0,0,41965,1800
1654227900021694328,156,0,0,38265,1800
1654227900021700444,155,0,0,34465,1800
1654227900021703364,37,10005,500,0,0
1654227900021704900,154,0,0,30565,2800
1654227900021710612,49,17130,100,0,0
1654227900021712344,154,0,0,29865,1800
1654227900021714904,38,10005,500,0,0
1654227900021717104,153,0,0,27365,2800
1654227900021719580,45,5005,500,0,0
1654227900021724292,152,0,0,23965,2800
1654227900021726404,44,5005,500,0,0
1654227900021728232,145,3560,900,0,0
1654227900021732108,144,3010,900,0,0
1654227900021732216,43,2005,500,0,0
1654227900021737796,1,153000,1500,0,0
1654227900021738104,156,22230,2700,38265,1800
1654227900021742724,62,1020,2800,0,0
1654227900021746480,154,16200,2700,29865,1800
1654227900021747192,49,17130,200,0,0
1654227900021750244,124,0,0,300,500
1654227900021752456,49,17130,400,0,0
1654227900021758728,49,18330,100,0,0
1654227900021764016,54,0,0,10845,2800
1654227900021765604,153,13590,2700,27365,2800
1654227900021769612,62,1020,5600,0,0
1654227900021771928,146,305,2000,0,0
1654227900021775468,62,1020,8400,0,0
1654227900021778284,124,0,0,300,1000
1654227900021779768,62,1020,11200,0,0
1654227900021783996,152,11700,2700,23965,2800
1654227900021786368,62,1020,14000,0,0
1654227900021790344,143,2625,900,0,0
1654227900021791884,62,1020,16800,0,0
1654227900021794904,146,305,2000,9995,100
1654227900021797592,69,140,2500,0,0
1654227900021801624,124,0,0,295,500
1654227900021802328,5,150000,2800,0,0
1654227900021806488,151,10170,2700,0,0
1654227900021812232,150,8520,2700,0,0
1654227900021814892,75,0,0,225,500
1654227900021817336,126,205,2500,0,0
1654227900021824396,166,11850,500,83965,1800
1654227900021829164,146,305,2000,8990,100
1654227900021833984,165,10005,500,78600,1800
1654227900021837644,63,205,2500,0,0
1654227900021839984,142,2210,900,0,0
1654227900021843316,49,18330,200,0,0
1654227900021843560,126,205,2500,400,500
1654227900021847104,54,0,0,10845,3000
1654227900021848880,141,1860,900,0,0
1654227900021852416,63,205,5000,0,0
