1654227900022809000,133,930,100,0
1654227900022815444,133,950,100,0
1654227900024480752,0,1676150,50,1
1654227900025360500,55,7440,50,0
1654227900025490296,0,1675500,100,1
1654227900026024244,0,1675500,50,1
1654227900026156912,0,1675500,150,1
1654227900026262064,148,10000,50,0
1654227900026421476,136,1880,100,0
1654227900026462324,146,8100,100,1
1654227900026538620,47,23500,50,1
1654227900026641528,0,1675500,50,1
1654227900026706028,0,1675500,50,1
1654227900026774144,137,2000,50,0
1654227900026840408,0,1675500,50,1
1654227900026978208,0,1675500,50,1
1654227900027246912,49,18330,50,1
1654227900027686116,0,1675500,50,1
1654227900027715660,61,1520,50,1
1654227900027769708,143,6465,50,0
1654227900027978956,146,8100,100,1
1654227900027982832,45,30455,50,1
1654227900028026396,50,16000,50,0
1654227900028254344,55,6380,50,0
1654227900028528320,55,6365,50,1
1654227900028544812,146,8100,50,1
1654227900028700800,54,6205,100,1
1654227900029008644,47,25000,100,0
1654227900029801900,51,13000,50,0
1654227900030014600,131,580,50,0
1654227900030021768,128,550,50,1
1654227900030155568,146,8100,50,1
1654227900030162012,148,9995,100,0
1654227900030168864,150,13800,50,1
1654227900030490980,55,6380,100,0
1654227900030641584,53,10110,50,1
1654227900030769832,53,10110,50,1
1654227900030775532,53,9000,250,1
1654227900030785180,53,7805,50,1
1654227900030790108,53,7805,100,1
1654227900030794316,53,7800,500,1
1654227900030799248,53,7595,50,1
1654227900030806328,53,7500,500,1
1654227900030812352,53,7500,600,1
1654227900031121524,0,1675505,50,1
1654227900031126876,0,1675500,50,1
1654227900031131556,0,1675500,50,1
1654227900031491292,0,1675500,50,1
1654227900031595644,0,1675500,200,1
1654227900031599952,0,1675500,150,1
1654227900031604620,0,1675330,50,1
1654227900031609320,0,1675015,100,1
1654227900031648428,53,9500,50,0
1654227900032344436,55,6370,100,1
1654227900032373576,136,1760,150,0
1654227900032378936,136,1870,50,0
1654227900032387700,136,1870,50,0
1654227900032576500,0,1675890,100,0
1654227900032581328,0,1676500,100,0
1654227900032587312,0,1676595,100,0
1654227900032595700,0,1675505,200,1
1654227900032599540,0,1675015,200,1
1654227900032603592,0,1675000,300,1
1654227900032607552,0,1675000,50,1
1654227900032638588,0,1674010,50,1
1654227900032656188,0,1674000,50,1
1654227900032688252,150,16995,50,0
1654227900032817684,75,110,50,1
1654227900033091232,55,6370,50,1
1654227900033255436,51,13000,100,0
1654227900033711148,51,13000,50,0
1654227900033718272,55,6370,50,1
1654227900033725596,55,6370,50,1
1654227900033735108,59,2600,50,0
1654227900033976260,52,9800,50,0
1654227900033983808,55,6370,50,1
1654227900033989456,55,6370,50,1
1654227900033999676,58,4040,50,0
1654227900034072264,49,18400,100,0
1654227900034079080,49,19000,50,0
1654227900034084364,49,19000,50,0
1654227900034299232,49,18335,50,1
1654227900034458844,51,12555,50,1
1654227900034500340,144,5005,100,1
1654227900034506868,148,9775,50,0
1654227900034513492,148,9990,150,0
1654227900034520408,152,19020,100,1
1654227900034615996,142,4380,50,0
1654227900034757748,0,1675000,50,0
1654227900035394768,53,9000,50,0
1654227900035430008,144,5010,100,1
1654227900035436348,148,9990,50,0
1654227900035442264,148,9990,150,0
1654227900035451000,152,19020,100,1
1654227900035591588,55,6390,50,0
1654227900035720952,0,1675590,50,0
1654227900035744336,146,7030,50,1
1654227900035971984,146,7030,350,1
1654227900035978348,146,7030,50,1
1654227900035984336,146,7025,100,1
